"community","pagerank","pr score","degree centrality","dc score","eigen","eigen score"
"3472","205048.0","0.008049284127367558","204054.0","0.019002375296912115","205048.0","0.430517390918108"
"3473","9604170.0","0.48648582432442095","9604170.0","1.0","9604170.0","0.7071067811865476"
"3474","109162.0","0.0025118097934981394","109162.0","0.005824111822947","109162.0","0.6804917454733621"
"3475","201204.0","0.5","201204.0","1.0","k > components","not defined"
"3476","9212092.0","0.5","9212092.0","1.0","k > components","not defined"
"3477","9411152.0","0.48648582432442095","9411152.0","1.0","9411152.0","0.7071067811865477"
"3478","205017.0","0.2820934425035648","205017.0","0.6000000000000001","205017.0","0.627963030199554"
"3479","201255.0","0.5","201255.0","1.0","k > components","not defined"
"3480","9901116.0","0.2869217393655811","9901116.0","0.6000000000000001","9901116.0","0.6015009550075459"
"3481","9206042.0","0.48648582432442095","9206042.0","1.0","9206042.0","0.7071067811865476"
"3482","202076.0","0.357556987250496","202076.0","0.75","202076.0","0.6532814824381882"
"3483","9302085.0","0.5","9302085.0","1.0","k > components","not defined"
"3484","202095.0","0.5","202095.0","1.0","k > components","not defined"
"3485","212087.0","0.17352567592571747","212087.0","0.36363636363636365","212002.0","0.5090350669363276"
"3486","9810070.0","0.029666268543227254","9810070.0","0.07228915662650603","9810070.0","0.6201583733206485"
"3487","9705122.0","0.027790729958530276","9705122.0","0.06435643564356436","9705122.0","0.6719922690986814"
"3488","109162.0","0.0054741314943606454","109162.0","0.012541254125412541","109162.0","0.6864891789573909"
"3489","204168.0","0.012499928544420877","204168.0","0.03088803088803089","204168.0","0.48981668683421736"
"3490","9903220.0","0.5","9903220.0","1.0","k > components","not defined"
"3491","9905111.0","0.001773946663790571","9905111.0","0.004319163446237781","9905111.0","0.698450145379773"
"3492","9204051.0","0.5","9204051.0","1.0","k > components","not defined"
"3493","109162.0","0.0027064198998405613","109162.0","0.006275494195167869","109162.0","0.6804818305796553"
"3494","207047.0","0.357556987250496","207047.0","0.75","207047.0","0.6532814824381885"
"3495","9905111.0","0.002167032740375865","9905111.0","0.00519409513395298","9905111.0","0.698452034840244"
"3496","9503009.0","0.2869217393655811","9503009.0","0.6000000000000001","9503009.0","0.601500955007546"
"3497","207102.0","0.357556987250496","207102.0","0.75","207102.0","0.653281482438188"
"3498","9812179.0","0.5","9812179.0","1.0","k > components","not defined"
"3499","302105.0","0.10237878500847723","302105.0","0.2222222222222222","302105.0","0.4789934533341181"
"3500","203145.0","0.5","203145.0","1.0","k > components","not defined"
"3501","9511165.0","0.5","9511165.0","1.0","k > components","not defined"
"3502","203182.0","0.2869217393655811","203182.0","0.6000000000000001","203182.0","0.6015009550075457"
"3503","9810013.0","0.1411889470619992","9805102.0","0.30000000000000004","9805102.0","0.5299592485053732"
"3504","203207.0","0.5","203207.0","1.0","k > components","not defined"
"3505","9901074.0","0.5","9901074.0","1.0","k > components","not defined"
"3506","203221.0","0.48648582432442095","203221.0","1.0","203221.0","0.7071067811865476"
"3507","205048.0","0.009652883952310285","204054.0","0.022792022792022793","205048.0","0.43068009998920725"
"3508","203067.0","0.5","203067.0","1.0","k > components","not defined"
"3509","9606024.0","0.48648582432442095","9606024.0","1.0","9606024.0","0.7071067811865475"
"3510","204105.0","0.48648582432442095","204105.0","1.0","204105.0","0.7071067811865476"
"3511","204120.0","0.5","204120.0","1.0","k > components","not defined"
"3512","9402010.0","0.357556987250496","9402010.0","0.75","9402010.0","0.6532814824381883"
"3513","9403020.0","0.5","9403020.0","1.0","k > components","not defined"
"3514","204141.0","0.5","204141.0","1.0","k > components","not defined"
"3515","9411007.0","0.5","9411007.0","1.0","k > components","not defined"
"3516","9404158.0","0.48648582432442095","9404158.0","1.0","9404158.0","0.7071067811865478"
"3517","9407085.0","0.48648582432442095","9407085.0","1.0","9407085.0","0.7071067811865476"
"3518","9906064.0","0.0012906220940144728","9906064.0","0.0028256569652444193","9906064.0","0.5208305148234561"
